"","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"499",-97.71721,26.81427,225,287,148,659,129,18,53,261,93,186,107,105,40,5402,344,83,261,266,194
"500",-98.38669,28.6753,214,291,124,655,94,24,39,219,100,179,107,136,42,6487,365,43,322,263,141
"501",-97.64183,27.86696,221,290,139,791,138,29,45,299,123,231,129,113,40,5862,351,70,281,266,154
"502",-98.02757,28.19793,216,288,132,703,110,26,41,252,109,191,116,127,42,6093,359,57,302,263,147
"503",-99.52858,28.99853,209,286,118,598,84,26,40,209,88,172,89,135,42,6534,359,38,321,249,137
"504",-97.74023,26.7031,225,286,149,660,131,18,53,261,92,186,106,106,40,5350,344,83,261,266,195
"505",-98.41055,28.50023,215,291,125,632,93,23,40,213,97,176,103,136,42,6412,366,45,321,264,143
"506",-97.99667,29.04814,208,285,119,739,104,31,34,237,128,185,136,132,41,6412,358,40,318,244,135
"507",-99.33296,28.30429,219,298,130,554,85,23,45,211,76,151,79,138,43,6526,373,53,320,266,149
"508",-98.37433,28.51244,215,291,125,637,93,24,39,215,99,176,104,136,42,6436,366,46,320,264,143
"509",-99.94675,29.30197,202,283,109,612,79,25,40,211,83,190,83,138,41,6788,355,24,331,253,109
"510",-97.72904,28.40682,215,287,132,770,118,31,38,261,122,221,130,122,41,6014,355,60,295,263,147
"511",-98.03101,29.23368,207,285,118,743,100,34,32,240,134,179,141,131,41,6497,358,40,318,244,134
"512",-99.12496,26.565,230,301,144,540,111,16,56,223,66,164,74,128,42,6140,373,70,303,273,161
"513",-99.11685,26.51574,231,302,146,539,111,16,58,230,65,163,72,127,42,6109,375,73,302,274,163
"514",-97.73437,28.4059,215,287,132,769,117,31,38,260,122,221,130,122,41,6024,355,59,296,262,147
"515",-97.94775,28.19732,219,291,134,712,113,26,41,255,110,195,118,126,41,6076,361,60,301,266,150
"516",-98.5681,29.04055,210,287,120,694,97,29,38,234,108,186,113,133,41,6499,360,41,319,247,137
"517",-99.51229,27.59464,230,305,142,437,80,13,51,169,55,117,62,132,42,6363,377,67,310,277,162
"518",-100.03435,29.72522,190,273,95,665,82,26,40,233,87,211,87,144,42,6933,347,7,340,241,95
"519",-97.81686,28.13444,218,289,135,757,124,28,42,273,117,216,124,122,41,5989,356,62,294,265,150
"520",-98.53251,29.13165,208,286,120,690,95,31,36,227,113,177,117,130,41,6480,357,43,314,246,131
"521",-97.59083,28.53056,215,286,133,823,124,33,38,276,128,245,136,124,41,5968,355,59,296,262,147
"522",-97.73163,28.41073,216,287,132,770,117,32,37,260,123,221,130,122,41,6025,355,60,295,263,147
"523",-97.41666,25.85163,232,287,165,686,147,22,56,292,94,177,109,96,41,4791,338,106,232,270,177
"524",-98.34862,28.48388,216,291,127,638,94,24,40,216,99,176,104,135,42,6389,366,47,319,264,144
"525",-99.11385,26.51421,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"526",-98.6495,26.602,226,291,146,578,109,18,52,226,81,166,90,128,43,5660,364,73,291,267,163
"527",-99.53509,27.59279,231,307,143,438,82,13,53,172,54,118,61,132,42,6396,379,67,312,278,162
"528",-97.82557,27.97197,220,291,138,749,128,28,44,279,115,215,120,121,41,5950,357,65,292,267,153
"529",-98.5492,28.46197,216,292,125,606,90,23,41,207,91,173,94,139,42,6487,368,43,325,264,142
